Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
VIGABATRIN,0.790964812152323,0.7628624977088094,0.7478279025789207,0.7316619424867631,0.6884836266102826,0.7385134669658022,0.7043096474587744,0.7752839417253288,0.7349342479769759,0.744715213543653,0.36399438664198364,0.7375473752742081,0.7456152210499745,0.736481203845608,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7461232256582006
LESOGABERAN,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.0028377786775463064,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.186113555369394,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
CGP-47656,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.0007408914378973595,0.527294909862208,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.6789877086550101,0.7397126246788673
SGS742,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.0028377786775463064,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.186113555369394,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ARBACLOFEN PLACARBIL,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.0028377786775463064,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.186113555369394,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
4-HYDROXYBUTANOIC ACID,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.031249150259019868,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
SODIUM OXYBATE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.010421781556264125,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
INDOLE-3-BUTYRIC ACID,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,7.996999973646578e-39,0.7377610814877665,0.7043096474587744,2.0624486958719286e-36,0.7186186385742863,0.756361826069095,0.7181880360665317,0.7375473752742081,0.7331003559790024,1.6815897434165757e-10,0.726459332904291,0.751760262856257,0.7430795634485644,0.7513952218615776,0.7452127716961101,0.7397126246788673
CA4P,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ERIBULIN,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ABACAVIR,0.7461830450603767,0.7628624977088094,5.161321227635894e-38,0.7316619424867631,6.242621920295931e-28,0.7377610814877665,0.734422143423419,1.1983325929756102e-08,0.7897560088736378,0.744715213543653,0.31367827026989964,0.7375473752742081,0.7755461262707913,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
FLUCLOXACILLIN,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
BAMINERCEPT,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.749950572530029,0.7186186385742863,0.7468964215798989,0.7198164455638207,0.7375473752742081,0.7352916843169648,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7487167843074631,0.7452127716961101,0.7397126246788673
PATECLIZUMAB,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
GLUCOSAMINE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7475844368093424,0.7388436367846846,0.7857921387544681,0.744715213543653,0.11760357283557496,0.7375473752742081,0.7645445955890131,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
