Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
JM 74,4.6986941869448164e-05,4.902324441873952e-05,5.1502230337625535e-05,3.67868693992038e-05,3.6716226349826e-05,3.646349889188053e-05,5.272901663541725e-05,3.6986696425580325e-05,3.684379945314096e-05,4.220161375474538e-05,3.979084007937457e-05,5.3306861915379415e-05,5.2529336248146946e-05,3.661034845303892e-05,4.2732320489759335e-05,4.3690171246984946e-05,3.6675104756284936e-05
DMCM,3.9443276345266374e-05,3.9216670363119065e-05,3.609990606615517e-05,3.839982815694667e-05,4.407931634616568e-05,4.586970234061694e-05,3.904008830260977e-05,4.539840017991289e-05,3.8460568015288126e-05,4.469022315332162e-05,4.536403593390757e-05,4.22767474026925e-05,3.69939023298449e-05,4.4979251898515106e-05,4.6524277089458275e-05,4.028082605992799e-05,3.669234399165178e-05
3-(4-SULFAMOYLPHENYL)PROPANOIC ACID,3.237964268571271e-05,3.566026386806201e-05,3.173707318590006e-05,3.2434376414067194e-05,4.208250658926177e-05,3.228283943607591e-05,4.159215857723059e-05,3.2197739704619114e-05,3.629080641996952e-05,3.537625605223457e-05,3.6484047242384814e-05,3.5566163042643715e-05,3.291581237500132e-05,3.668490167015829e-05,3.661595767899067e-05,3.233961063072686e-05,3.201822862005972e-05
ETHOXZOLAMIDE,4.1521594602749597e-05,4.4998098877567435e-05,4.4174214237013107e-05,4.436590050630688e-05,4.830297356018103e-05,4.287056317840229e-05,4.6193085103482546e-05,4.1408979422822664e-05,4.531270920557575e-05,4.2740337839187704e-05,4.256241726164431e-05,4.3229088989264365e-05,4.3259133269090845e-05,4.6437201910974596e-05,4.4317947890176794e-05,4.2124052135000986e-05,4.3687336328751494e-05
(R)-FLUROCARAZOLOL,3.65722088058681e-05,3.564422763766745e-05,3.8139350939467924e-05,3.596575273591287e-05,3.664346278091459e-05,3.934200915815538e-05,3.730270441509659e-05,3.606649641356981e-05,3.8018589253013734e-05,3.5590123737845934e-05,3.830507165334798e-05,3.537306326152536e-05,3.582373359055309e-05,3.567101766538421e-05,3.9539763264198944e-05,3.952021307964299e-05,3.5926733952057944e-05
4-PHENYLBUTYLAMINE,5.4692566415424625e-05,5.5542075433088295e-05,7.080208392928205e-05,8.689637179265805e-05,7.151326915136861e-05,8.959082362625906e-05,6.671732862380844e-05,6.201000173319766e-05,5.606284272488274e-05,6.267134793049321e-05,7.468151387412721e-05,5.081174420021223e-05,8.278606801767177e-05,6.710162200895925e-05,7.389993631265212e-05,5.92310764647015e-05,6.204826410048687e-05
25-HYDROXYCHOLESTEROL,4.5346269450884865e-05,4.490356871296506e-05,4.254001168507491e-05,3.957865869420574e-05,4.0034450652505686e-05,5.479499117094694e-05,4.4901435827217234e-05,4.581550234247676e-05,4.531532080451101e-05,4.246558147862855e-05,5.4490950069738195e-05,4.692447311600551e-05,4.71837024536385e-05,4.285412456629479e-05,4.1565796600199405e-05,4.3484762484139025e-05,5.812485621516385e-05
IMPORTAZOLE,0.0008983281253027634,0.0013553642675468503,0.0015076223005260072,0.001955639673493296,0.002120453258295365,0.001635820551195922,0.0008510903647609035,0.002513221383684407,0.0016387302782936294,0.000896630805303052,0.0014595573425880922,0.0017868416820814533,0.0018409766245718502,0.0017062956152169623,0.0016999814838667001,0.000735869124074181,0.0027897754958520664
AMUVATINIB,4.746646037913871e-05,4.9190408844909914e-05,4.6728528783640834e-05,4.214250880539323e-05,4.684828123461592e-05,0.0033615388436491296,4.552066294478895e-05,4.670429567608224e-05,4.9208132443415454e-05,4.903354975549435e-05,0.0030015759807377074,5.099582562210986e-05,4.781026314006079e-05,0.0024812544146270324,4.113356190692117e-05,4.85393874672692e-05,4.457256007812957e-05
NIVOCASAN,3.827075570166784e-05,0.0030095152978281137,0.0033600567877675835,4.230455013090267e-05,4.240701533871671e-05,3.833126330994077e-05,0.0026514146932159702,4.928944144905629e-05,3.5471863441178595e-05,3.922557240817614e-05,3.791087716996051e-05,3.74613279358435e-05,3.5227505197159734e-05,3.774581293535192e-05,0.0038044816683376306,4.093502696796422e-05,3.874476519851757e-05
