Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
2-[(E)-2-(3-NITROPHENYL)VINYL]QUINOLINE,6.501679181549265e-10,6.9971311929942335e-40,2.8482065526239175e-13,2.7116851812720903e-28,0.9030642898639174,0.058937637669189906,3.357863232495816e-07,0.8768871393089922,0.8681791586719287,0.0,0.8829488467678296,1.4144637199708244e-31,0.0,0.002904030535855681,0.0,3.419996241081155e-09,1.4229631151991416e-27,0.0,3.510359945325098e-09,0.0
CIXUTUMUMAB,0.8446568820775415,0.0,0.8791368857902675,7.124278150038787e-07,0.9030642898639174,0.04091470165911089,1.8728538756617765e-09,0.8768871393089922,1.010661115159527e-06,0.3324631852568607,0.8829488467678296,0.165329018620066,0.0009276435334514762,0.002418970944842486,0.8785818072990048,1.2801983202619594e-09,0.015376968094402348,3.860243804712577e-05,0.8292310695158156,1.2801007445098024e-16
FLANVOTUMAB,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.0202384360120708,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.42123331055113333,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.16636956752252405,0.8835855664324834,0.8806205381788367,0.2517298965995773,0.8292310695158156,0.866790498319384
IMIQUIMOD,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
RONTALIZUMAB,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.7513989098373877,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
FORMYCIN,0.8446568820775415,0.8767875396413598,0.8803606035790608,0.874593053776576,0.9030642898639174,0.8883290173417249,0.5880899771908257,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.5901426592819939,0.903460791197228,0.870908138155316,0.8572342555743353,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8852095484950373,0.8678319282177904
METHYLTHIOADENOSINE,0.8446568820775415,0.8767875396413598,0.8803606035790608,0.874593053776576,0.9030642898639174,0.8883290173417249,0.5880899771908257,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.5901426592819939,0.903460791197228,0.870908138155316,0.8572342555743353,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8852095484950373,0.8678319282177904
5'-METHYLTHIOTUBERCIDIN,0.8446568820775415,0.8767875396413598,0.8803606035790608,0.874593053776576,0.9030642898639174,0.8883290173417249,0.5880899771908257,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.5901426592819939,0.903460791197228,0.870908138155316,0.8572342555743353,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8852095484950373,0.8678319282177904
929095-18-1,0.0,0.26264152264070756,0.8791368857902675,0.874593053776576,0.9030642898639174,0.0,0.8721518453708049,0.0,0.8681791586719287,0.85543494586864,0.8829488467678296,2.6880637329357505e-21,3.096728757138246e-31,0.0,0.0,0.8835855664324834,3.6378705440941086e-18,0.0,0.8292310695158156,0.866790498319384
HMN-214,0.0,0.26264152264070756,0.8791368857902675,0.874593053776576,0.9030642898639174,0.0,0.8721518453708049,0.0,0.8681791586719287,0.85543494586864,0.8829488467678296,2.6880637329357505e-21,3.096728757138246e-31,0.0,0.0,0.8835855664324834,3.6378705440941086e-18,0.0,0.8292310695158156,0.866790498319384
CHEMBL245549,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8840966379255649,0.9036720452089319,0.870908138155316,0.8559557418681538,0.5987709947160668,0.8880140304643923,0.8806205381788367,0.42289684738837124,0.8292310695158156,0.8678319282177904
TIE2 KINASE INHIBITOR,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8840966379255649,0.9036720452089319,0.870908138155316,0.8559557418681538,0.5987709947160668,0.8880140304643923,0.8806205381788367,0.42289684738837124,0.8292310695158156,0.8678319282177904
ANGIOPOIETIN-4,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8840966379255649,0.9036720452089319,0.870908138155316,0.8559557418681538,0.5987709947160668,0.8880140304643923,0.8806205381788367,0.42289684738837124,0.8292310695158156,0.8678319282177904
CE-245677,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8840966379255649,0.9036720452089319,0.870908138155316,0.8559557418681538,0.5987709947160668,0.8880140304643923,0.8806205381788367,0.42289684738837124,0.8292310695158156,0.8678319282177904
