Drug,COADREAD,LUSC,HNSC,STAD,KIRC,UCEC,BRCA,LIHC,CESC,LUAD,ESCA,PRAD,GBM,SKCM,BLCA,LGG,UCS
VANOXERINE,0.8824988570236216,0.7712726566822627,0.7195077036005574,0.6517584283731284,0.7766485312273741,0.6289465044014205,0.5378596635311592,0.7937542276773949,0.8448234636146283,0.7816424099394639,0.8385445042680513,0.8560186472248128,0.22126495744655894,0.848699141883029,0.7897576911687343,0.5765550331761247,0.6641482286134205
2-DEOXY-D-GLUCOPYRANOSE,0.4072570981898707,0.4494628127317253,0.37193934596586176,0.45321372852833863,0.5369268577161262,0.5133233923989148,0.5297400856557294,0.3079192859513915,0.5320167823845212,0.2955744082562354,0.359115389166389,0.27247076143810983,0.40771209645637263,0.5509052263110013,0.4215444315170469,0.40414129493085077,0.40386973463237064
1-[1-(3-AMINOPHENYL)-3-TERT-BUTYL-1H-PYRAZOL-5-YL]-3-NAPHTHALEN-1-YLUREA,0.058583638452585955,0.5390770113485499,0.5396751136298338,0.4994076868060019,0.1902843956450545,0.4955154021838374,0.13801744293646606,0.5546643064292863,0.5151696246353639,0.5429378738756419,0.5290719661840808,0.11316365696109443,0.10353452288887449,0.5515169307428569,0.48222637525370576,0.5210126201304435,5.665997033433232e-06
ML347,0.5274451856360954,0.5334356449435194,0.5502338904053787,0.5312294828685261,0.5253161934524284,4.324005593833131e-17,0.5389912887348509,2.5893847335897364e-18,0.5146093204974919,0.5100886278663489,0.5256398254871704,0.5490731244234313,0.5226901287720599,0.5228929773842186,3.7783801938238135e-18,0.5453093566677447,0.5309874974739748
PAMIDRONIC ACID,0.5631912166479901,0.668195897654734,0.6617674594658729,0.5363393904907168,0.5497592400285258,0.6785086679787649,0.3978403383041794,0.34523395949945923,0.5463174398169255,0.42670381997588513,0.5465600893955009,0.4906857615697627,0.474859344019529,0.5344647283371121,0.5697372708828776,0.5368566555371593,0.28410597934217496
CINACIGUAT,0.6389188638738603,0.8565284440354749,0.6787799620553617,0.7121431096067097,0.8413547936470209,0.5428942409903906,0.5395117746774571,0.7397214815366124,0.7236240827972469,0.8403763491730253,0.8469906524635404,0.8797025469570277,0.1511904399081604,0.6880957554225975,0.8146884109594572,0.07843072581346813,0.8455180022737421
BIOCHANIN A,0.5949802676112232,0.5591692917052579,0.5559200699099727,0.8162761285523157,0.7923399784895067,0.5562202865674009,0.5525752008521392,0.5430273988625322,0.5634065037045057,0.5357197122480125,0.904199579392201,0.7204774005256451,0.5304353719309183,0.5391713935287474,0.5626549183528302,0.5471812793606274,0.5381646420570622
5-AMINOLEVULINIC ACID,0.5390680082302698,0.12385235260294736,0.03966205558911873,0.03472844731575781,0.518695739470189,0.503462108064763,0.2341609980296831,0.5162863538198804,0.10235843532252559,0.5504997331186995,0.31736028991556553,0.5373559567468333,0.5385990385220771,0.5393800356567915,0.5124608133796339,0.13702985131510914,0.07103746962919422
AMINOPURVALANOL,0.2441491333248253,5.048421370495841e-05,5.0247006082464205e-08,5.011881258379413e-06,9.077243961617993e-05,0.0002077380523727674,0.008153684475848718,1.5858865000706902e-05,0.015292670232637516,0.028120649036141112,3.0185299421841844e-10,0.010432438307734705,0.033483914811231974,0.0024218199286854436,7.332807110562439e-05,0.0002039835273392274,0.2172775907278514
UNII-9G1A824CC2,0.8102621109258716,0.7913313311401993,0.5380198702027618,0.5298187856182035,0.6665233132075774,0.5500841699755089,0.5584950958194054,0.5416498443140056,0.5423334391692279,0.8028866834062198,0.8040548608962939,0.9018471164114681,0.42957944177301916,0.6786736902572001,0.5409003988529509,0.4113191424659384,0.5385877460446038
DODECYL HYDROGEN SULFATE,0.717352444203783,0.5342787559651845,0.5329122560418533,0.7327483547809925,0.7154828586293522,0.7384402047696137,0.8096937140659468,0.7763010016330252,0.7606894824598995,0.7337766803200968,0.7201093776802263,0.7269114500862174,0.4595924865736448,0.7160837566358053,0.7821403986997645,0.15140255083700038,0.7401237687700555
SOFINICLINE,0.6514476884135377,0.6712544328529036,0.4068330354861416,0.6440796048416391,0.32107669025731755,0.7509367288155777,0.7410799445358887,0.22543127403308028,0.7231838598692,0.49344051416443013,0.5189964740496796,0.7378838338189015,0.5239783526937397,0.4975626820903469,0.6045065245635433,0.4148327316189637,0.5164477708867138
DEXANABINOL,0.5479448684010434,0.29609229464244946,0.5213882660893989,0.5269483924269568,0.8906363197652163,0.5482698273883834,0.55105567325714,0.5354717945706827,0.5274658556079567,0.5555981903247789,0.3004556784918212,0.8302384544288023,0.7734654992733984,0.5252736148310028,0.6550813975046441,0.7906120719626949,0.5348661689486351
CHEMBL153254,0.7451053263074614,0.6410087556097556,0.7133411299941593,0.8089096650756145,0.5633364930416571,0.6745919248788413,0.6842604626211706,0.7322481062649293,0.6924023027368509,0.5331995441744958,0.800433405563417,0.7687705015206852,0.5668617414007233,0.4457098388050376,0.7292432615662148,0.7757852750670446,0.5582418129416704
3-HYDROXYHIPPURIC ACID,0.37683642092814446,0.2084898428023294,0.48252676047249254,0.43815445861161073,0.7733222104873092,0.6488430307161569,0.5145569460131538,0.23742012532962908,0.20234213916078675,0.3737060191366831,0.020594339309153234,0.5934760584884984,0.7791483257937729,0.44008137438265205,0.4911221065196285,0.44647104667406184,0.21812908221707333
QUINACRINE,0.9138832028170899,0.841014829139934,0.8194589311550632,0.9423948538856354,0.8522834862999973,0.5528138681607532,0.9475184895773836,0.538292720940161,0.8912835750543109,0.7822107858162883,0.46780514715583643,0.9054632377220468,0.8877705077859197,0.9292933372533224,0.7405868296628111,0.5603752900382644,0.9002966130609584
